Actual Time,Run Time,Date Time,Temperature_MS8607,Temperature_DHT22,Humidity_MS8607,Humidity_DHT22,Pressure,Dust_PM10Standard,Dust_PM25Standard,Dust_PM100Standard,Dust_PM10Env, Dust_PM25Env,Dust_PM100Env,Dust_Particles03um,Dust_Particles05um,Dust_Particles10um,Dust_Particles25um,Dust_Particles50um,Dust_Particles100,VolatileOrganicCompounds_eCO2,VolatileOrganicCompounds_TVOC
1638830174.4773412,4830.540654182434,2021-12-06 15:36:14.477354,23.01,21.3,11.200469970703125,16.1,674.7826390836301,0,0,0,0,,0,153,44,0,0,0,0,403,24
1638830175.2146742,4831.277987957001,2021-12-06 15:36:15.214687,23.01,21.3,11.147064208984375,16.1,674.8576407663301,0,0,0,0,,0,153,44,0,0,0,0,400,21
1638830175.9465609,4832.009873151779,2021-12-06 15:36:15.946573,23.01,21.3,11.108917236328125,16.0,674.7826390836301,0,0,0,0,,0,153,44,0,0,0,0,406,23
1638830176.926522,4832.989832639694,2021-12-06 15:36:16.926536,23.0,21.3,11.063140869140625,16.0,674.83514026152,0,0,0,0,,0,177,52,0,0,0,0,406,16
1638830177.642549,4833.705863237381,2021-12-06 15:36:17.642562,23.01,21.3,11.032623291015625,16.0,674.83514026152,0,0,0,0,,0,177,52,0,0,0,0,406,22
1638830178.370381,4834.43369436264,2021-12-06 15:36:18.370393,23.01,21.3,11.009735107421875,16.0,674.8576407663301,0,0,0,0,,0,138,39,0,0,0,0,404,16
1638830179.3489256,4835.412237882614,2021-12-06 15:36:19.348939,23.01,21.3,10.994476318359375,16.0,674.84264042979,0,0,0,0,,0,138,39,0,0,0,0,407,27
1638830180.0755718,4836.138884305954,2021-12-06 15:36:20.075585,23.01,21.3,10.979217529296875,16.0,674.8576407663301,0,0,0,0,,0,138,39,0,0,0,0,400,22
1638830180.7869005,4836.850205421448,2021-12-06 15:36:20.786914,23.02,21.3,10.956329345703125,15.9,674.7976394201701,0,0,0,0,,0,123,39,0,0,0,0,406,21
1638830181.7764885,4837.8397698402405,2021-12-06 15:36:21.776505,23.01,21.3,10.933441162109375,15.9,674.8576407663301,0,0,0,0,,0,123,39,0,0,0,0,400,20
1638830182.491998,4838.555312633514,2021-12-06 15:36:22.492011,23.02,21.3,10.925811767578125,15.9,674.8576407663301,0,0,0,0,,0,123,41,0,0,0,0,400,20
1638830183.1988358,4839.262150287628,2021-12-06 15:36:23.198849,23.02,21.3,10.918182373046875,15.8,674.8576407663301,0,0,0,0,,0,114,38,0,0,0,0,400,15
1638830184.182979,4840.246290445328,2021-12-06 15:36:24.182992,23.01,21.3,10.918182373046875,15.8,674.8576407663301,0,0,0,0,,0,114,38,0,0,0,0,403,22
1638830184.910661,4840.973972797394,2021-12-06 15:36:24.910673,23.02,21.3,10.910552978515625,15.8,674.8576407663301,0,0,0,0,,0,114,38,0,0,0,0,400,25
1638830185.6647358,4841.728046178818,2021-12-06 15:36:25.664750,23.03,21.3,10.895294189453125,15.8,674.81263975671,0,0,0,0,,0,114,38,0,0,0,0,401,20
1638830186.6499732,4842.713286399841,2021-12-06 15:36:26.649987,23.02,21.3,10.887664794921875,15.8,674.8576407663301,0,0,0,0,,0,114,38,0,0,0,0,400,13
1638830187.3721776,4843.43548989296,2021-12-06 15:36:27.372192,23.02,21.3,10.887664794921875,15.8,674.87264110287,0,0,0,0,,0,99,30,0,0,0,0,400,22
