Actual Time,Run Time,Date Time,Temperature_MS8607,Temperature_DHT22,Humidity_MS8607,Humidity_DHT22,Pressure,Dust_PM10Standard,Dust_PM25Standard,Dust_PM100Standard,Dust_PM10Env, Dust_PM25Env,Dust_PM100Env,Dust_Particles03um,Dust_Particles05um,Dust_Particles10um,Dust_Particles25um,Dust_Particles50um,Dust_Particles100,VolatileOrganicCompounds_eCO2,VolatileOrganicCompounds_TVOC
1638998812.9611213,173469.02443623543,2021-12-08 14:26:52.961180,23.81,21.9,14.565032958984375,18.8,665.16742336149,0,0,0,0,,0,45,15,0,0,0,0,829,263
1638998817.3807092,173473.4440214634,2021-12-08 14:26:57.380722,23.82,21.8,14.526885986328125,18.7,665.16742336149,0,0,0,0,,0,63,21,0,0,0,0,836,255
1638998821.8386688,173477.90197181702,2021-12-08 14:27:01.838683,23.82,21.9,14.526885986328125,18.7,665.16742336149,0,0,0,0,,0,63,19,0,0,0,0,832,262
1638998826.2326078,173482.29592227936,2021-12-08 14:27:06.232622,23.82,21.9,14.526885986328125,18.7,665.16742336149,0,0,0,0,,0,48,14,0,0,0,0,833,261
1638998830.6876953,173486.7510061264,2021-12-08 14:27:10.687708,23.83,21.8,14.511627197265625,18.7,665.18242369803,0,0,0,0,,0,42,12,0,0,0,0,835,254
1638998835.093772,173491.15707921982,2021-12-08 14:27:15.093786,23.83,21.7,14.488739013671875,18.6,665.18242369803,0,0,0,0,,0,12,2,0,0,0,0,836,261
1638998839.5193605,173495.5826742649,2021-12-08 14:27:19.519373,23.82,21.8,14.511627197265625,18.7,665.16742336149,0,0,0,0,,0,6,2,0,0,0,0,825,251
1638998843.968215,173500.03148436546,2021-12-08 14:27:23.968235,23.83,21.8,14.542144775390625,18.7,665.18242369803,0,0,0,0,,0,6,2,2,0,0,0,837,258
1638998848.3566186,173504.4199271202,2021-12-08 14:27:28.356632,23.83,21.8,14.557403564453125,18.7,665.16742336149,0,0,0,0,,0,6,2,2,0,0,0,836,266
1638998852.8178945,173508.8812060356,2021-12-08 14:27:32.817908,23.83,21.9,14.565032958984375,18.8,665.18242369803,0,0,0,0,,0,6,2,2,0,0,0,828,266
1638998857.4734015,173513.5367166996,2021-12-08 14:27:37.473414,23.81,21.8,14.595550537109375,18.7,665.15992319322,0,0,0,0,,0,12,4,2,0,0,0,837,258
1638998861.8955805,173517.95888113976,2021-12-08 14:27:41.895597,23.81,21.8,14.603179931640625,18.7,665.15992319322,0,0,0,0,,0,6,2,0,0,0,0,827,268
1638998866.2835445,173522.3468594551,2021-12-08 14:27:46.283558,23.81,21.8,14.610809326171875,18.7,665.15992319322,0,0,0,0,,0,12,4,0,0,0,0,831,261
1638998870.684695,173526.74792575836,2021-12-08 14:27:50.684721,23.8,21.8,14.595550537109375,18.8,665.2049242028401,0,0,0,0,,0,18,6,0,0,0,0,827,256
1638998875.15584,173531.21913790703,2021-12-08 14:27:55.155856,23.8,21.9,14.572662353515625,18.8,665.1299225201401,0,0,0,0,,0,12,4,0,0,0,0,828,256
1638998879.647588,173535.7108848095,2021-12-08 14:27:59.647603,23.8,21.8,14.565032958984375,18.7,665.1974240345701,0,0,0,0,,0,18,6,0,0,0,0,832,253
1638998884.0809178,173540.14423203468,2021-12-08 14:28:04.080930,23.79,21.8,14.618438720703125,18.7,665.1974240345701,0,0,0,0,,0,72,24,0,0,0,0,834,250
1638998888.5417573,173544.6050684452,2021-12-08 14:28:08.541772,23.79,21.8,14.595550537109375,18.7,665.12242235187,0,0,0,0,,0,93,31,0,0,0,0,837,258
1638998893.0022793,173549.06559300423,2021-12-08 14:28:13.002293,23.8,21.8,14.580291748046875,18.7,665.1449228566801,0,0,0,0,,0,114,38,0,0,0,0,828,253
1638998897.486157,173553.54944181442,2021-12-08 14:28:17.486178,23.8,21.9,14.565032958984375,18.8,665.1974240345701,0,0,0,0,,0,108,36,0,0,0,0,837,261
1638998901.8732934,173557.9366004467,2021-12-08 14:28:21.873311,23.79,21.9,14.549774169921875,18.8,665.12242235187,0,0,0,0,,0,48,16,0,0,0,0,825,254
1638998906.2493458,173562.31264710426,2021-12-08 14:28:26.249361,23.79,21.9,14.534515380859375,18.8,665.12242235187,0,0,0,0,,0,27,9,0,0,0,0,828,261
1638998910.6691935,173566.73240327835,2021-12-08 14:28:30.669296,23.79,21.8,14.549774169921875,18.7,665.1974240345701,0,0,0,0,,0,18,4,2,2,0,0,835,260
1638998915.064377,173571.12769031525,2021-12-08 14:28:35.064390,23.79,21.8,14.534515380859375,18.7,665.12242235187,0,0,0,0,,0,24,6,2,2,0,0,822,256
1638998919.4235768,173575.48687672615,2021-12-08 14:28:39.423591,23.8,21.8,14.496368408203125,18.7,665.1299225201401,0,0,0,0,,0,42,12,2,2,0,0,837,253
1638998923.8492742,173579.9125468731,2021-12-08 14:28:43.849290,23.8,21.9,14.450592041015625,18.7,665.1449228566801,0,0,0,0,,0,36,10,0,0,0,0,830,261
1638998928.1883001,173584.2516129017,2021-12-08 14:28:48.188313,23.8,21.7,14.465850830078125,18.6,665.1299225201401,0,0,0,0,,0,30,10,0,0,0,0,824,250
1638998932.647039,173588.71035265923,2021-12-08 14:28:52.647053,23.8,21.7,14.473480224609375,18.6,665.1449228566801,0,0,0,0,,0,24,8,0,0,0,0,826,254
