Actual Time,Run Time,Date Time,Temperature_MS8607,Temperature_DHT22,Humidity_MS8607,Humidity_DHT22,Pressure,Dust_PM10Standard,Dust_PM25Standard,Dust_PM100Standard,Dust_PM10Env,Dust_PM25Env,Dust_PM100Env,Dust_Particles03um,Dust_Particles05um,Dust_Particles10um,Dust_Particles25um,Dust_Particles50um,Dust_Particles100,VolatileOrganicCompounds_eCO2,VolatileOrganicCompounds_TVOC
1643673675.389343,445103.37291431427,2022-01-31 17:01:15.389358,19.83,18.8,-6.0,1.0,669.14251254459,0,0,0,0,0,0,0,0,0,0,0,0,571,28
1643673676.1574218,445104.1409828663,2022-01-31 17:01:16.157435,19.84,18.9,-6.0,1.0,669.1575128811301,0,0,0,0,0,0,0,0,0,0,0,0,576,27
1643673677.2455986,445105.2291715145,2022-01-31 17:01:17.245613,19.83,18.9,-6.0,1.0,669.21751422729,0,0,0,0,0,0,0,0,0,0,0,0,580,18
1643673678.013203,445105.9967696667,2022-01-31 17:01:18.013217,19.84,18.9,-6.0,1.0,669.1575128811301,0,0,0,0,0,0,0,0,0,0,0,0,575,21
1643673678.785413,445106.76897859573,2022-01-31 17:01:18.785426,19.85,18.9,-6.0,1.0,669.17251321767,0,0,0,0,0,0,0,0,0,0,0,0,573,22
1643673679.8750918,445107.8586652279,2022-01-31 17:01:19.875104,19.84,18.9,-6.0,1.0,669.14251254459,0,0,0,0,0,0,0,0,0,0,0,0,588,30
1643673680.6448228,445108.6283829212,2022-01-31 17:01:20.644837,19.84,18.9,-6.0,1.0,669.1575128811301,0,0,0,0,0,0,0,0,0,0,0,0,570,22
1643673681.4586535,445109.4422297478,2022-01-31 17:01:21.458667,19.84,18.9,-6.0,1.0,669.17251321767,0,0,0,0,0,0,0,0,0,0,0,0,577,31
1643673682.4849887,445110.46856212616,2022-01-31 17:01:22.485015,19.83,18.9,-6.0,1.0,669.14251254459,0,0,0,0,0,0,0,0,0,0,0,0,578,24
1643673683.3176324,445111.30120944977,2022-01-31 17:01:23.317646,19.84,18.9,-6.0,1.0,669.14251254459,0,0,0,0,0,0,0,0,0,0,0,0,582,34
